0,1.9503894274365184e-35
1,1.7876002495394406e-33
2,8.087767774039726e-32
3,2.4078317275722453e-30
4,5.305199873866162e-29
5,9.224981950628838e-28
6,1.3183233772129696e-26
7,1.5921180241721061e-25
8,1.6582256454738532e-24
9,1.51259579633084e-23
10,1.2230859426972861e-22
11,8.852204663119901e-22
12,5.780192876234914e-21
13,3.427506842558544e-20
14,1.8558743214335095e-19
15,9.218804486634639e-19
16,4.217725739301356e-18
17,1.7833346989677742e-17
18,6.988778304739521e-17
19,2.544874843652323e-16
20,8.628872794427274e-16
21,2.7292952884714046e-15
22,8.065223553185416e-15
23,2.229445021577131e-14
24,5.77069778194631e-14
25,1.3997295186553068e-13
26,3.183285218001985e-13
27,6.7897222093577e-13
28,1.3583062501758172e-12
29,2.5481525793793204e-12
30,4.480500452302572e-12
31,7.378293307919678e-12
32,1.136607766239194e-11
33,1.6353058151036173e-11
34,2.1927863275258165e-11
35,2.732622907432647e-11
36,3.153038777560682e-11
37,3.351759245655121e-11
38,3.260069407501635e-11
39,2.8730025937497635e-11
40,2.2603214389842654e-11
41,1.5492050502805552e-11
42,8.828054799441322e-12
43,3.721275084819781e-12
44,6.342216645347754e-13
45,6.461512307254857e-13
46,7.584766358775939e-13
47,4.0297117707799525e-13
48,6.148422528697149e-14
49,8.719590498192975e-14
50,8.045943139226764e-14
