0,0.00005896376304149571
1,0.0005336921991324721
2,0.00210110849258049
3,0.0046270824416421285
4,0.0060120430021142314
5,0.004234405701020371
6,0.000804532615397411
7,0.000857360515026867
8,0.0003122174352810092
9,0.00024625069435108216
10,0.00005298474296006857
11,0.00008338514621969454
12,0.000010664668664846991
13,0.00002061713788477897
14,0.000012157895296034893
15,3.3489489582022316e-7
16,3.870779340388996e-6
17,2.080252603026616e-6
18,5.105615226286308e-8
19,6.117281622092905e-7
20,4.1596854398533325e-7
21,9.11398827813466e-8
22,6.657100320705316e-8
23,7.665077018101595e-8
24,3.564447879652628e-8
25,2.686777882285203e-9
26,9.242012431889105e-9
27,8.123667967475474e-9
28,3.5503789143451667e-9
29,2.876251904126136e-10
30,9.003338105920248e-10
31,8.443596076620136e-10
32,4.244823062249397e-10
33,9.109198222982418e-11
34,5.819434726415747e-11
35,8.022897645103506e-11
36,5.186020566616799e-11
37,2.0100940294241014e-11
38,1.1903035383023027e-12
39,5.4523836602596204e-12
40,5.345545728416418e-12
41,3.1204088505276756e-12
42,1.1344490640970191e-12
43,3.4470894914837145e-14
44,3.380929838794362e-13
45,3.2832877033075303e-13
46,1.9900225927381073e-13
47,8.112618698469038e-14
48,1.207239925741127e-14
49,1.503755464036082e-14
50,1.8402442530279733e-14
