---
quantity: ρ
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
---
# T, ρ
2.0,1.1568261443480157e-9
2.5,1.2755892550774918e-9
3.0,1.410590355148756e-9
3.5,1.561396245813516e-9
4.0,1.726369312928935e-9
4.5,1.9054291970478282e-9
5.0,2.0988189477796298e-9
5.5,2.3069605444039207e-9
6.0,2.5309155356928277e-9
6.5,2.7702995451497765e-9
7.0,3.025874236315878e-9
7.5,3.298155345594077e-9
8.0,3.587112663244161e-9
8.5,3.893136350414866e-9
9.0,4.216620445117729e-9
9.5,4.559024559236859e-9
10.0,4.919611478338133e-9
10.5,5.29878741276668e-9
11.0,5.696770962071561e-9
11.5,6.11411175951129e-9
12.0,6.551512364005054e-9
12.5,7.009713926601398e-9
13.0,7.489548787203057e-9
13.5,7.987972135607124e-9
14.0,8.513448336517788e-9
