---
quantity: σxx
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
T: 14.0
---
# qy,σxx
1.609105201075645e7,6.28550328473916e7 + 0.07490446872098767im
1.619037949230433e7,6.263293383226952e7 - 0.01812393261282291im
1.628970697385221e7,6.241229772159926e7 + 0.07052255793859162im
1.6389034455400089e7,6.219311129562569e7 + 0.11776511753415925im
1.6488361936947968e7,6.1975362085657306e7 - 0.22444905934370515im
1.6587689418495847e7,6.175903656004223e7 - 0.003366385389442928im
1.6687016900043726e7,6.154412308215548e7 + 0.035444367999868776im
1.6786344381591607e7,6.133060814095544e7 - 0.0967631649456751im
1.6885671863139488e7,6.111848030144071e7 + 0.05203438057444109im
1.6984999344687365e7,6.090772643817808e7 + 0.05436169715329383im
1.7084326826235242e7,6.0698334454719014e7 + 0.18386559297266739im
1.7183654307783123e7,6.049029245719653e7 + 0.04882025119139748im
1.7282981789331004e7,6.0283588633296e7 + 0.28192752733160437im
1.738230927087888e7,6.0078210801593445e7 + 0.05554638537673324im
1.7481636752426762e7,5.98741476706002e7 - 0.16004174123438053im
1.758096423397464e7,5.967138706425789e7 - 0.06983343823130196im
1.768029171552252e7,5.946991815641457e7 - 0.07906557838627175im
1.77796191970704e7,5.926972911618308e7 + 0.20115802119329027im
1.787894667861828e7,5.907080873859886e7 + 0.030631291700338577im
1.797827416016616e7,5.8873145936699875e7 + 0.1839476969708191im
1.8077601641714036e7,5.8676729692326196e7 - 0.016885412469253156im
1.8176929123261917e7,5.84815490271752e7 - 0.06369232621739777im
1.8276256604809795e7,5.828759269859019e7 + 0.4128894058765026im
1.8375584086357675e7,5.8094850926969096e7 + 0.0313264680061514im
1.8474911567905556e7,5.790331221426813e7 + 0.0738316030184255im
1.8574239049453434e7,5.771296667910833e7 - 0.07174462791895099im
1.8673566531001315e7,5.752380328631854e7 + 0.22218865294403095im
1.877289401254919e7,5.733581212863792e7 - 0.07493175418903164im
1.8872221494097073e7,5.714898338235175e7 - 0.009538109851479768im
1.8971548975644954e7,5.6963306366459005e7 - 0.050760466861962096im
1.907087645719283e7,5.677877130711628e7 + 0.010446343069911337im
1.9170203938740708e7,5.659536827630237e7 - 0.010946326094323331im
1.926953142028859e7,5.641308742765941e7 - 0.027276859345141714im
1.936885890183647e7,5.6231919248449855e7 - 0.06709433280928569im
1.946818638338435e7,5.60518541790861e7 + 0.005227134710310356im
1.9567513864932228e7,5.58728825176587e7 - 0.016711673126300727im
1.9666841346480105e7,5.5694994934053145e7 - 0.02623111587323751im
1.9766168828027986e7,5.551818224230973e7 - 0.07079608518153122im
1.9865496309575863e7,5.5342435499248445e7 - 0.006989032937814346im
1.996482379112374e7,5.516774497697546e7 + 0.07114636225318394im
2.0064151272671618e7,5.4994101841058575e7 - 0.09938811857121761im
2.0163478754219495e7,5.482149764555748e7 - 0.08079303901027203im
2.0262806235767372e7,5.464992329317736e7 - 0.2413031217390851im
2.036213371731525e7,5.447936968150823e7 + 0.007334991315276834im
2.0461461198863126e7,5.430982867081937e7 - 0.08828241966962329im
2.0560788680411004e7,5.414129148397018e7 - 0.03603275346317313im
2.066011616195888e7,5.397374946908971e7 - 0.12326590960479963im
2.0759443643506758e7,5.380719489423672e7 + 0.07239674174915625im
2.0858771125054635e7,5.364161861326258e7 - 0.029706939374978383im
2.0958098606602512e7,5.34770128755158e7 + 0.054019004610063245im
2.105742608815039e7,5.331336972629497e7 + 0.04414346106140027im
2.1156753569698267e7,5.315068074753433e7 - 0.14007306485340001im
2.1256081051246144e7,5.2988938026919e7 - 0.103633174265549im
2.135540853279402e7,5.28281339865359e7 + 0.06446790984310159im
2.14547360143419e7,5.266826069153709e7 - 0.005665110272074702im
2.1554063495889775e7,5.250931009921311e7 - 0.15731610607511087im
2.1653390977437653e7,5.235127505008805e7 - 0.015438005029263126im
2.175271845898553e7,5.219414741555548e7 + 0.034342759834723124im
2.1852045940533407e7,5.2037920359816566e7 + 0.09863843061336965im
2.1951373422081284e7,5.188258625919646e7 + 0.12508035351521093im
2.205070090362916e7,5.172813718765083e7 + 0.02694455971093932im
2.215002838517704e7,5.15745667511959e7 - 0.015594276661455787im
2.2249355866724916e7,5.142186732925058e7 + 0.09871450086844187im
2.2348683348272793e7,5.1270031892338835e7 + 0.032141169229823484im
2.244801082982067e7,5.111905332620963e7 - 0.022774280136200583im
2.2547338311368547e7,5.0968924929729275e7 + 0.0046830360317026655im
2.2646665792916425e7,5.0819639442571394e7 - 0.028593280756919127im
2.27459932744643e7,5.067119019496901e7 + 0.061860276849050835im
2.284532075601218e7,5.05235706295427e7 + 0.06560523814871289im
2.2944648237560056e7,5.037677362079778e7 - 0.06430443551339851im
2.3043975719107933e7,5.023079303206823e7 - 0.120292827153995im
2.314330320065581e7,5.008562214248899e7 - 0.05693019606141732im
2.3242630682203688e7,4.994125427497845e7 - 0.02964143084252592im
2.3341958163751565e7,4.979768297445005e7 + 0.004320569063349241im
2.3441285645299442e7,4.965490197510269e7 - 0.20897848559507262im
2.354061312684732e7,4.951290543647769e7 - 0.01307184042565723im
2.3639940608395196e7,4.937168687982524e7 + 0.04514316658182118im
2.3739268089943074e7,4.923123947462475e7 - 0.06976406333241456im
2.383859557149095e7,4.909155789144429e7 - 0.13965582565271809im
2.3937923053038828e7,4.895263567852029e7 + 0.011475538745769377im
2.4037250534586705e7,4.88144672842554e7 + 0.09877055889064498im
2.4136578016134582e7,4.867704626336768e7 - 0.10085649678291281im
2.423590549768246e7,4.8540367355641566e7 - 0.01188337628714712im
2.4335232979230337e7,4.840442408505786e7 - 0.12636912568295008im
2.4434560460778214e7,4.826921117610767e7 + 0.04266278985492668im
2.453388794232609e7,4.813472279330483e7 - 0.15451564326324713im
2.463321542387397e7,4.8000953375101306e7 + 0.11840609614730178im
2.4732542905421846e7,4.786789712833078e7 + 0.1451325106766271im
2.4831870386969723e7,4.773554865385177e7 - 0.09745377853330221im
2.49311978685176e7,4.760390240828872e7 + 0.01061984382478763im
2.5030525350065477e7,4.747295341303348e7 - 0.08420011501857494im
2.5129852831613354e7,4.734269575370538e7 - 0.05416808773024353im
2.522918031316123e7,4.7213124240709476e7 - 0.02721058395782788im
2.532850779470911e7,4.7084233732246615e7 + 0.05471758806044506im
2.5427835276256986e7,4.695601924295029e7 - 0.06424128599488794im
2.5527162757804863e7,4.682847514335289e7 + 0.11086354503263515im
2.562649023935274e7,4.670159671786956e7 + 0.028259823467335254im
2.5725817720900618e7,4.6575378579539396e7 + 0.045111638737326605im
2.5825145202448495e7,4.644981569777242e7 - 0.10464589719745085im
2.5924472683996372e7,4.632490403307277e7 - 0.06887441909056825im
2.602380016554425e7,4.6200637538098685e7 - 0.07757862976837156im
2.6123127647092126e7,4.607701178789012e7 + 0.028963437611472274im
2.6222455128640004e7,4.5954021954672575e7 + 0.0025006103919521547im
2.632178261018788e7,4.583166327999639e7 + 0.01116338350793147im
2.6421110091735758e7,4.570993090999322e7 + 0.12041515144887374im
2.6520437573283635e7,4.558882050052845e7 - 0.06715045985379339im
2.6619765054831512e7,4.546832732489018e7 + 0.0645692191432228im
2.671909253637939e7,4.53484465376981e7 - 0.007686026364567065im
2.6818420017927267e7,4.5229173903328255e7 + 0.09462233085007586im
2.6917747499475144e7,4.511050456301648e7 + 0.008806392933143063im
2.701707498102302e7,4.4992434483533904e7 + 0.13378628888610128im
2.71164024625709e7,4.487495902916899e7 + 0.1198320064089168im
2.7215729944118775e7,4.475807382773364e7 - 0.0056050774021306265im
2.7315057425666653e7,4.464177466959717e7 + 0.14867399409428275im
2.741438490721453e7,4.452605707024535e7 - 0.027654728200175067im
2.7513712388762407e7,4.441091691877914e7 - 0.03436630178678638im
2.7613039870310284e7,4.4296349776024416e7 - 0.023512250383499824im
2.771236735185816e7,4.418235206500603e7 - 0.03610036981010117im
2.781169483340604e7,4.406891930682752e7 + 0.04539075970114814im
2.7911022314953916e7,4.395604706172583e7 + 0.16246049749943753im
2.8010349796501793e7,4.384373181116732e7 - 0.0594543209548901im
2.810967727804967e7,4.373196912020183e7 - 0.01376700894840444im
2.8209004759597547e7,4.3620755338535555e7 + 0.0866153413438346im
2.8308332241145425e7,4.351008654577747e7 + 0.05842011406809394im
2.84076597226933e7,4.339995856911618e7 + 0.08589798721598926im
2.850698720424118e7,4.32903679068251e7 - 0.012769405401888308im
2.8606314685789056e7,4.318131017988496e7 - 0.010655658164259759im
2.8705642167336933e7,4.307278209508898e7 - 0.043936729651794584im
2.880496964888481e7,4.296477975227533e7 + 0.2512195379236026im
2.8904297130432688e7,4.285729938834315e7 + 0.0016117313702741494im
2.9003624611980565e7,4.275033739387394e7 - 0.07045464522071525im
2.9102952093528442e7,4.264388994595902e7 - 0.005529381994351044im
2.920227957507632e7,4.2537953489684284e7 + 0.05212953001857503im
2.9301607056624196e7,4.243252463139489e7 + 0.06839634530830631im
2.9400934538172074e7,4.23275995890107e7 - 0.0232357778875709im
2.950026201971995e7,4.222317486015438e7 - 0.03204963480969109im
2.9599589501267828e7,4.21192471780904e7 - 0.04619165538763391im
2.9698916982815705e7,4.201581280776405e7 - 0.025807157828478734im
2.9798244464363582e7,4.1912868376945734e7 + 0.0045679332200901064im
2.989757194591146e7,4.181041050750012e7 - 0.05717344357437874im
2.9996899427459337e7,4.17084361022037e7 + 0.16746460541967595im
3.0096226909007214e7,4.160694139883954e7 + 0.09356941870500683im
3.019555439055509e7,4.150592314678535e7 + 0.039102176211704746im
3.029488187210297e7,4.140537850235522e7 - 0.05624655937589008im
3.0394209353650846e7,4.1305303798600435e7 - 0.16460746856926325im
3.0493536835198723e7,4.1205695980542496e7 + 0.004783085711385734im
3.05928643167466e7,4.110655177823154e7 + 0.12370377485700483im
3.0692191798294477e7,4.100786840177462e7 - 0.07657454931678585im
3.0791519279842354e7,4.0909641982492805e7 - 0.034601937248644965im
3.089084676139023e7,4.081186985185125e7 - 0.008843370775739235im
3.099017424293811e7,4.071454910184933e7 + 0.01843764615291868im
3.1089501724485986e7,4.0617676505218044e7 - 0.0216582647687924im
3.1188829206033863e7,4.052124890663025e7 - 0.03763125643054319im
3.128815668758174e7,4.042526349519603e7 + 0.03412360365259642im
3.1387484169129618e7,4.032971738111429e7 - 0.007499916993677559im
3.1486811650677495e7,4.023460731849719e7 + 0.06504634092710739im
3.1586139132225372e7,4.0139930543845855e7 + 0.040230878852136866im
3.168546661377325e7,4.0045684314906515e7 - 0.044112009963450896im
3.1784794095321126e7,3.9951865623602584e7 - 0.03360226817348087im
3.1884121576869003e7,3.985847154286285e7 - 0.04050181964282403im
3.198344905841688e7,3.9765499535320304e7 - 0.12542891127590322im
3.2082776539964758e7,3.96729465188535e7 - 0.060563055393987174im
3.2182104021512635e7,3.958080984999832e7 - 0.05023358791637839im
3.2281431503060512e7,3.94890866114769e7 + 0.001882890084531517im
3.238075898460839e7,3.939777450300798e7 + 0.012235043117796293im
3.2480086466156267e7,3.9306870478620514e7 + 0.044455831861204984im
3.2579413947704144e7,3.921637194378676e7 - 0.029094178228359743im
3.267874142925202e7,3.9126276325802214e7 + 0.03105971121970008im
3.27780689107999e7,3.903658085648586e7 + 0.06076156447343621im
3.2877396392347775e7,3.8947283005072184e7 + 0.018112674369597015im
3.2976723873895653e7,3.885838027834703e7 - 0.011052431747841797im
3.307605135544353e7,3.876987006881826e7 - 0.014729555968893455im
3.3175378836991407e7,3.868174975611953e7 - 0.08437722570955754im
3.3274706318539284e7,3.859401691106159e7 + 0.003041421775731531im
3.337403380008716e7,3.850666890316998e7 - 0.09328496798753334im
3.347336128163504e7,3.8419703470260404e7 - 0.01726327084522189im
3.3572688763182916e7,3.833311795126413e7 + 0.06940625218879969im
3.367201624473079e7,3.8246910052645236e7 - 0.04733498523541832im
3.377134372627867e7,3.816107736115259e7 + 0.005967739372773073im
3.387067120782655e7,3.807561729765622e7 + 0.0406801773459632im
3.3969998689374425e7,3.79905277622728e7 + 0.005895813464637607im
3.40693261709223e7,3.7905806254260756e7 - 0.104627657396232im
3.416865365247018e7,3.782145048918337e7 + 0.11167722154883342im
3.4267981134018056e7,3.773745794032125e7 - 0.0022475044806348366im
3.436730861556593e7,3.765382672801173e7 - 0.013821181097008875im
3.446663609711381e7,3.757055427197597e7 + 0.00554253545137198im
3.456596357866169e7,3.748763846817074e7 + 0.01957681569959511im
3.4665291060209565e7,3.74050767726827e7 - 0.04269228413866122im
3.476461854175744e7,3.732286741829535e7 + 0.045210677696611946im
3.486394602330532e7,3.724100805421357e7 + 0.10729573303736006im
3.49632735048532e7,3.715949628248962e7 + 0.008817948223189206im
3.506260098640107e7,3.707833015467364e7 + 0.004246098295582448im
3.516192846794895e7,3.699750743886156e7 + 0.05773444910045011im
3.526125594949683e7,3.691702601301786e7 + 0.06751980107888562im
3.5360583431044705e7,3.6836883836944714e7 + 0.022681285406098626im
3.545991091259258e7,3.675707860200769e7 - 0.0691416000736152im
3.555923839414046e7,3.667760858961768e7 - 0.03623869599434661im
3.565856587568834e7,3.659847138444619e7 - 0.019525491509974312im
3.5757893357236214e7,3.651966521853136e7 + 0.018777965517139214im
3.585722083878409e7,3.644118783207366e7 + 0.005977533033726958im
3.595654832033197e7,3.636303756947283e7 - 0.027149970682618336im
3.6055875801879846e7,3.628521180982952e7 - 0.003441096509298863im
3.615520328342772e7,3.620770920254032e7 + 0.031933061769015676im
3.62545307649756e7,3.613052740773775e7 - 0.05981337922036316im
3.635385824652348e7,3.605366487077859e7 + 0.04622248995966202im
3.6453185728071354e7,3.597711905757638e7 + 0.005057809389672021im
3.655251320961923e7,3.5900888549807966e7 - 0.08982136272556661im
3.665184069116711e7,3.5824971470029354e7 + 0.028317129717399765im
3.6751168172714986e7,3.5749365512851216e7 + 0.04432018035883205im
3.685049565426286e7,3.567406920692601e7 - 0.08147072059901564im
3.694982313581074e7,3.559908038979742e7 - 0.0050260739897314225im
3.704915061735862e7,3.55243973611585e7 - 0.14737578299523116im
3.7148478098906495e7,3.545001846016495e7 + 0.039293757591591955im
3.724780558045437e7,3.537594166196203e7 - 0.01809584845476237im
3.734713306200225e7,3.530216506166053e7 - 0.029110008818670683im
3.7446460543550126e7,3.522868718924314e7 - 0.031099661209150392im
3.7545788025098e7,3.515550618636164e7 - 0.016622604934809517im
3.764511550664588e7,3.5082620028502315e7 + 0.01587420407502857im
3.774444298819376e7,3.501002738966345e7 + 0.034205945648977304im
3.7843770469741635e7,3.493772634107434e7 + 0.018905511267455207im
3.794309795128951e7,3.486571498390382e7 + 0.025051150625289207im
3.804242543283739e7,3.4793991838066354e7 - 0.039335128920581205im
3.814175291438527e7,3.4722555281372815e7 - 0.0031658764286115392im
3.8241080395933144e7,3.4651403340948984e7 + 0.030259304862201162im
3.834040787748102e7,3.458053467066434e7 - 0.08755214221877942im
3.84397353590289e7,3.45099475684793e7 - 0.033653461999901796im
3.8539062840576775e7,3.443963999362076e7 - 0.007307217475389071im
3.863839032212465e7,3.436961094312276e7 - 0.011568708349487885im
3.873771780367253e7,3.4299858330454804e7 - 0.022869508009440008im
3.883704528522041e7,3.423038093901169e7 + 0.028680441347301112im
3.8936372766768284e7,3.4161176801670015e7 - 0.008479483262187133im
3.903570024831616e7,3.4092244508827575e7 - 0.051015292034157556im
3.913502772986404e7,3.402358251733838e7 - 0.04847602313580518im
3.9234355211411916e7,3.3955189240120046e7 + 0.04650137835155386im
3.933368269295979e7,3.38870632476466e7 - 0.0029726391535996226im
3.943301017450767e7,3.381920275616513e7 - 0.013778739439818244im
3.953233765605555e7,3.375160661854026e7 + 0.03270493227971478im
3.9631665137603424e7,3.368427305868253e7 - 0.07206873551771331im
3.97309926191513e7,3.36172005519772e7 + 0.05450894155421487im
3.983032010069918e7,3.3550387954910304e7 - 0.0029415060708166047im
3.9929647582247056e7,3.3483833187275678e7 - 0.0057270163994539896im
4.002897506379493e7,3.341753529735468e7 - 0.019170704526349586im
4.012830254534281e7,3.335149275195823e7 - 0.010119950163084182im
4.022763002689069e7,3.328570404010131e7 + 0.03651263670384611im
4.0326957508438565e7,3.3220167670168445e7 + 0.0395543262247179im
4.042628498998644e7,3.3154882335963957e7 + 0.015998804836718547im
4.052561247153432e7,3.3089846640691638e7 - 0.05723373634985865im
4.06249399530822e7,3.3025059028150447e7 + 0.03470528266981719im
4.072426743463007e7,3.2960518291996405e7 - 0.03767104117957535im
4.082359491617795e7,3.2896223097495105e7 - 0.0005177998905481083im
4.092292239772583e7,3.283217184024743e7 - 0.09720662995925974im
4.1022249879273705e7,3.276836332892858e7 + 0.011158064907255965im
4.112157736082158e7,3.2704796128770113e7 - 0.035233241544313586im
4.122090484236946e7,3.264146908498419e7 - 0.01935115482917268im
4.132023232391734e7,3.2578380644257475e7 + 0.052560488348250944im
4.1419559805465214e7,3.2515529540544327e7 + 0.07273805970792227im
4.151888728701309e7,3.245291445632672e7 - 0.053991421525561564im
4.161821476856097e7,3.23905343331599e7 - 0.0686397928709474im
