---
quantity: τeff_σ
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
---
# T,τeff_σ
2.0,1.9373012010040445e-11
2.5,1.757514705048036e-11
3.0,1.5897668483916213e-11
3.5,1.4367441411637272e-11
4.0,1.2998409582210108e-11
4.5,1.1779907826992844e-11
5.0,1.069693816100831e-11
5.5,9.733805411766303e-12
6.0,8.874122267058045e-12
6.5,8.10868669211798e-12
7.0,7.42497333455082e-12
7.5,6.8130027878891535e-12
8.0,6.265064590177667e-12
8.5,5.77335234011809e-12
9.0,5.331181729961955e-12
9.5,4.931420139594298e-12
10.0,4.570502869176358e-12
10.5,4.243928662379886e-12
11.0,3.94789305252045e-12
11.5,3.678808312438024e-12
12.0,3.4335584847680847e-12
12.5,3.2094609381056542e-12
13.0,3.0041624824695256e-12
13.5,2.817012143868031e-12
14.0,2.6433666465009823e-12
