---
quantity: τeff_η
n_ε: 12
n_θ: 38
Uee: 0.07441459021549257
Vimp: 7.538183350719422e-5
---
# T, τeff_η
2.0,2.7442040992916406e-11
2.5,2.3228005984557714e-11
3.0,1.96614222602967e-11
3.5,1.6684168770590408e-11
4.0,1.4273680677563975e-11
4.5,1.2320609497326054e-11
5.0,1.0729163908144099e-11
5.5,9.421178643039081e-12
6.0,8.331066515043805e-12
6.5,7.420972135729872e-12
7.0,6.652093317202054e-12
7.5,5.996594970555038e-12
8.0,5.4342980659839976e-12
8.5,4.948105284286842e-12
9.0,4.523644132218584e-12
9.5,4.148762271559534e-12
10.0,3.818140739389023e-12
10.5,3.5247718140822252e-12
11.0,3.2632932262107066e-12
11.5,3.028561677388389e-12
12.0,2.816285896269087e-12
12.5,2.623927957241866e-12
13.0,2.4484648076816323e-12
13.5,2.2906374498750636e-12
14.0,2.143340200649055e-12
